Client_ID,Professionals_Count,Students_Count,Observers_Count,Course_Start_Date,Practical_Hours,Theory_Hours,Registration_Days_Before,Origin_Country,Catering_Package,Welcome_Gift_Type,Requested_Lab_Config,Assigned_Lab_Config,Prev_Course_Dropouts,Prev_Course_Attended,Pre_Course_Supports_Tickets,Physical_Course_Kits,Waiting_List_Days,Registration_Changes,Enrollment_Type,Lanyard_Color,Client_Category,Submission_Source,Returning_Client,Agent_ID,Company_ID,Payment_Terms,Daily_Tuition_Cost,Dropped_Course
66933,2,0.0,0,2016-03-05,2,1,105.0,DEU,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission, Blue ,SaaS & Software Houses, B2B Platforms & Resellers ,0,158.0,,Pay Upon Start,89.3,0
2682,1,0.0,0,2016-09-06,0,5,15.0,FRA,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,Affiliated Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,261.0,,Pay Upon Start,111.0,0
74360,2,0.0,0,2016-07-15,2,2,96.0,GBR,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,Black,FinTech & Banking,Direct Website Registration,0,264.0,,Pay Upon Start,94.5,0
13199,2,0.0,0,2016-10-27,0,2,2.0,  ITA  ,No Food Plan,USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,3,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,130.0,0
9856,2,0.0,0,2016-08-22,1,2,160.0,ESP,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,2,General Admission,  Blue ,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,114.5,0
54675,2,0.0,0,2016-09-13,0,2,346.0,DEU,Lunch Included,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,AFFILIATED ADMISSION,Red,Traditional IT & Telecomm,B2B Platforms & Resellers,0,,,Pay Upon Start,115.0,0
46658,3,0.0,0,2015-12-18,2,2,74.0,PRT,Standard (Coffee Only),Branded Notebook,Linux Workstation,Linux Workstation,0,0,2,0.0,0,0,General Admission,Black,FinTech & Banking,Direct Website Registration,0,264.0,,Pay Upon Start,126.3,0
11507,2,0.0,0,2017-01-10,0,3,3.0,ITA,Lunch Included,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,Black,traditional it & telecomm,B2B Platforms & Resellers,0,252.0,,Pay Upon Start,108.53,0
63342,2,0.0,0,2015-09-26,2,2,88.0,PRT,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,  General Admission  ,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,Prepaid (Non-Refundable),170.0,1
42118,2,0.0,0,2015-12-29,0,3,146.0,AUT,  Standard (Coffee Only)  ,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,99,0,Affiliated Admission,Blue, Traditional IT & Telecomm  ,B2B Platforms & Resellers,0,138.0,,Pay Upon Start,75.0,0
33332,2,0.0,0,2016-12-29,1,3,0.0,BRA,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,1,Affiliated Admission,Black,Traditional IT & Telecomm,B2B Platforms & Resellers,0,100.0,,PAY UPON START,12.0,0
48860,2,0.0,0,2016-11-04,1,2,305.0,PRT,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,general admission,Blue,Traditional IT & Telecomm,B2B Platforms & Resellers,0,138.0,,Prepaid (Non-Refundable),89.0,1
77394,2,0.0,0,2015-10-20,0,1,36.0,FRA,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Laptop Docking Station,0,0,1,0.0,0,0,Contractual Agreement,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,96.3,0
28973,1,1.0,0,2016-10-24,1,5,219.0,GBR,Standard (Coffee Only),Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admis!sion,Blue,saas & software houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,106.25,1
68321,2,0.0,0,2015-12-24,0,1,47.0,FRA,Standard (Coffee Only),Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,2,0.0,0,1,General Admission,Red,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,, PAY UPON START ,87.0,0
50851,2,0.0,0,2016-06-26,1,0,5.0,ESP,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,109.0,0
24089,2,0.0,0,2017-03-09,0,2,90.0,fra,No Food Plan,Water Bottle,Standard PC (Windows),Standard PC (Windows),0,0,2,0.0,0,0,General Admission,Black,SAAS & SOFTWARE HOUSES,b2b platforms & resellers,0,184.0,,Pay Upon Start,79.2,0
32411,2,0.0,0,2016-03-15,0,2,75.0,ITA,No Food Plan,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,0,0.0,0,0,General Admission,Blue,SaaS & Software Houses,B2B Platforms & Resellers,0,184.0,,Pay Upon Start,67.5,0
26725,2,0.0,0,2016-09-28,0,4,100.0,ITA,Lunch Included,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,1,0.0,0,1,Affiliated Admission,Blue,Traditional IT & Telecomm,B2B Platforms & Resellers,0,144.0,,Pay Upon Start,140.0,0
25392,2,0.0,0,2016-11-30,0,3,12.0,FRA,No Food Plan,Branded Notebook,Standard PC (Windows),Standard PC (Windows),0,0,2,0.0,0,0,General Admission,  Black  ,SaaS & Software Houses,B2B Platforms & Resellers,0,,,Pay Upon Start,88.0,0
6995,2,0.0,0,2015-08-17,1,1,304.0, PRT  ,Standard (Coffee Only),USB Drive,Standard PC (Windows),Standard PC (Windows),1,0,0,0.0,0,0,Affiliated Admission,Blue,Big Tech & Multinationals,B2B Platforms & Resellers,0,218.0,,  Prepaid (Non-Refundable) ,62.0,1
