clip,split,effective_n,baseline,candidate,delta
2,2016_may_aug,7949.22133312461,0.871838976651361,0.8761317296499449,0.004292752998583893
2,2016_sep_dec,6976.860186361492,0.8999202177666801,0.9028023409198564,0.0028821231531763747
2,2017_jan_apr,4908.1126433845675,0.9051398736015563,0.90549056560959,0.0003506920080336151
5,2016_may_aug,5961.692037039663,0.868827546536806,0.8734483913939434,0.004620844857137318
5,2016_sep_dec,4964.85560125714,0.8938131881995754,0.8957479161610827,0.0019347279615072877
5,2017_jan_apr,3349.615235033568,0.8973037928118138,0.897664310596785,0.0003605177849711483
10,2016_may_aug,5011.203868207341,0.8687258856646027,0.873570897094299,0.004845011429696289
10,2016_sep_dec,3954.5083291599126,0.892784931124087,0.8937989873939756,0.0010140562698885969
10,2017_jan_apr,2558.454978782794,0.894678118635164,0.894683459304209,5.340669045006408e-06
20,2016_may_aug,4359.678593562736,0.8690046404362456,0.8739195335851582,0.00491489314891258
20,2016_sep_dec,3303.35223587105,0.8918714941921222,0.8926343130263908,0.0007628188342686526
20,2017_jan_apr,2189.512878278487,0.8954061752342062,0.895406211913182,3.6678975856574425e-08
50,2016_may_aug,3969.134756997102,0.8701312193710942,0.8750029094616948,0.004871690090600622
50,2016_sep_dec,2709.2821272227297,0.890099295007336,0.8908230064685985,0.0007237114612624884
50,2017_jan_apr,2020.945086487555,0.8954689549562197,0.8953637952600129,-0.00010515969620683574
none,2016_may_aug,3930.167653997312,0.8702595528064941,0.8751264288014938,0.0048668759949996865
none,2016_sep_dec,2560.137119966388,0.8902320963588017,0.8910833656360282,0.0008512692772264518
none,2017_jan_apr,2020.945086487555,0.8954689549562197,0.8953637952600129,-0.00010515969620683574
