variant,lgbm_weight,xgb_weight,cat_weight,mean_auc,worst_auc,recent_auc,auc_2016_may_aug,auc_2016_sep_dec,auc_2017_jan_apr
uniform,0,1,1,0.916814656266458,0.9150977301685078,0.9150977301685078,0.919126203128841,0.9162200355020251,0.9150977301685078
uniform,0,1,2,0.9161115490535612,0.9148056531451085,0.9148056531451085,0.9180831438120908,0.9154458502034842,0.9148056531451085
uniform,0,1,3,0.9155408201030747,0.9144852392738595,0.9144852392738595,0.9173250765073393,0.914812144528025,0.9144852392738595
uniform,0,1,4,0.9151384029109272,0.9142607405589074,0.9142607405589074,0.9167988036949413,0.9143556644789329,0.9142607405589074
uniform,0,2,1,0.9169178609387422,0.9149815506068538,0.9149815506068538,0.919544840792405,0.9162271914169676,0.9149815506068538
uniform,0,2,2,0.916814656266458,0.9150977301685078,0.9150977301685078,0.919126203128841,0.9162200355020251,0.9150977301685078
uniform,0,2,3,0.9164704802987346,0.91497187276304,0.91497187276304,0.9185828337635065,0.9158567343696574,0.91497187276304
uniform,0,2,4,0.9161115490535612,0.9148056531451085,0.9148056531451085,0.9180831438120908,0.9154458502034842,0.9148056531451085
uniform,0,3,1,0.9167390310758813,0.9147778766731918,0.9147778766731918,0.9195078282921856,0.9159313882622667,0.9147778766731918
uniform,0,3,2,0.9169540342921043,0.9150769356778089,0.9150769356778089,0.9194660673383297,0.9163190998601742,0.9150769356778089
uniform,0,3,3,0.9168145337697267,0.9150978210402807,0.9150978210402807,0.9191258533543543,0.9162199269145449,0.9150978210402807
uniform,0,3,4,0.9165903971311161,0.9150199439309046,0.9150199439309046,0.9187628616318416,0.9159883858306022,0.9150199439309046
uniform,0,4,1,0.9165536312658618,0.9146006918613301,0.9146006918613301,0.919405418562197,0.915654783374058,0.9146006918613301
uniform,0,4,2,0.9169178609387422,0.9149815506068538,0.9149815506068538,0.919544840792405,0.9162271914169676,0.9149815506068538
uniform,0,4,3,0.9169391565024343,0.9151123453786494,0.9151123453786494,0.9193947981368764,0.9163103259917773,0.9151123453786494
uniform,0,4,4,0.916814656266458,0.9150977301685078,0.9150977301685078,0.919126203128841,0.9162200355020251,0.9150977301685078
uniform,1,0,1,0.9165285724681734,0.9154674571218512,0.9154674571218512,0.9173108099479765,0.9168074503346926,0.9154674571218512
uniform,1,0,2,0.9160321607082831,0.9151730325776517,0.9151730325776517,0.9170248004101986,0.9158986491369989,0.9151730325776517
uniform,1,0,3,0.9155247749234413,0.9148059560510181,0.9148059560510181,0.9165841057555244,0.9151842629637814,0.9148059560510181
uniform,1,0,4,0.9151354343081178,0.9145321896898582,0.9145321896898582,0.9162410511787485,0.9146330620557469,0.9145321896898582
uniform,1,1,0,0.9162985814987423,0.9145735969277102,0.9145735969277102,0.9180402063440529,0.9162819412244637,0.9145735969277102
uniform,1,1,1,0.9173885646088609,0.9156176984530474,0.9156176984530474,0.9190761959764826,0.9174717993970528,0.9156176984530474
uniform,1,1,2,0.9171102675148758,0.9155716113188911,0.9155716113188911,0.9187335017734202,0.9170256894523161,0.9155716113188911
uniform,1,1,3,0.9166544646281528,0.9153497933212397,0.9153497933212397,0.9182129949404378,0.9164006056227813,0.9153497933212397
uniform,1,1,4,0.9162566185382209,0.9151269605887911,0.9151269605887911,0.9177588074699621,0.9158840875559096,0.9151269605887911
uniform,1,2,0,0.9163413128337767,0.9144566146653956,0.9144566146653956,0.9186421576362808,0.9159251661996537,0.9144566146653956
uniform,1,2,1,0.9173497110371086,0.9153915943367743,0.9153915943367743,0.9194584676926661,0.9171990710818857,0.9153915943367743
uniform,1,2,2,0.917341786559735,0.9155539216137664,0.9155539216137664,0.9193171376016223,0.9171543004638162,0.9155539216137664
uniform,1,2,3,0.9170986869663977,0.9154649732933918,0.9154649732933918,0.9189702991008548,0.9168607885049468,0.9154649732933918
uniform,1,2,4,0.9167874821992535,0.9153287867964042,0.9153287867964042,0.9185744603742816,0.916459199427075,0.9153287867964042
uniform,1,3,0,0.9162259693345619,0.9143161269044906,0.9143161269044906,0.9187773189772882,0.9155844621219071,0.9143161269044906
uniform,1,3,1,0.9171625990153699,0.9151535254370691,0.9151535254370691,0.9195246386659967,0.9168096329430437,0.9151535254370691
uniform,1,3,2,0.9173476922650717,0.9154277461570933,0.9154277461570933,0.9195471726223157,0.9170681580158061,0.9154277461570933
uniform,1,3,3,0.9172489040569495,0.9154562647484887,0.9154562647484887,0.9193409646636193,0.9169494827587406,0.9154562647484887
uniform,1,3,4,0.9170548799213304,0.9153863995004234,0.9153863995004234,0.9190473766786313,0.9167308635849366,0.9153863995004234
uniform,1,4,0,0.9161106256766525,0.9141944344552807,0.9141944344552807,0.9188153278048332,0.9153221147698433,0.9141944344552807
uniform,1,4,1,0.9169743857435809,0.9149555309892132,0.9149555309892132,0.9194882621193892,0.9164793641221405,0.9149555309892132
uniform,1,4,2,0.9172751810626633,0.9152881065327354,0.9152881065327354,0.9196316060635379,0.9169058305917166,0.9152881065327354
uniform,1,4,3,0.9172778406754665,0.9153916700632516,0.9153916700632516,0.9195090048063678,0.9169328471567801,0.9153916700632516
uniform,1,4,4,0.9171741711766331,0.9153930785757316,0.9153930785757316,0.919315643110634,0.916813791843534,0.9153930785757316
uniform,2,0,1,0.9163428878532796,0.9152495466104345,0.9152495466104345,0.9168443803704692,0.9169347365789349,0.9152495466104345
uniform,2,0,2,0.9165285724681734,0.9154674571218512,0.9154674571218512,0.9173108099479765,0.9168074503346926,0.9154674571218512
uniform,2,0,3,0.9163090683046371,0.9153401003321303,0.9153401003321303,0.9172385232207438,0.9163485813610373,0.9153401003321303
uniform,2,0,4,0.9160321607082831,0.9151730325776517,0.9151730325776517,0.9170248004101986,0.9158986491369989,0.9151730325776517
uniform,2,1,0,0.9158735959192136,0.9144100277364884,0.9144100277364884,0.9169671936121768,0.9162435664089755,0.9144100277364884
uniform,2,1,1,0.9170948897774077,0.9154676843012834,0.9154676843012834,0.9183705842454959,0.9174464007854436,0.9154676843012834
uniform,2,1,2,0.9172077929538798,0.9156379628584044,0.9156379628584044,0.9185479411086604,0.9174374748945745,0.9156379628584044
uniform,2,1,3,0.9170160244590532,0.9155883620156959,0.9155883620156959,0.9183780884981175,0.9170816228633459,0.9155883620156959
uniform,2,1,4,0.9167389594887547,0.9154544321677353,0.9154544321677353,0.9181014804745706,0.9166609658239583,0.9154544321677353
uniform,2,2,0,0.9162985814987423,0.9145735969277102,0.9145735969277102,0.9180402063440529,0.9162819412244637,0.9145735969277102
uniform,2,2,1,0.9172078264795465,0.9153646357108135,0.9153646357108135,0.9189278279987989,0.9173310157290269,0.9153646357108135
uniform,2,2,2,0.9173885646088609,0.9156176984530474,0.9156176984530474,0.9190761959764826,0.9174717993970528,0.9156176984530474
uniform,2,2,3,0.9172957255322479,0.915636857251834,0.915636857251834,0.9189446913687443,0.9173056279761655,0.915636857251834
uniform,2,2,4,0.9171102675148758,0.9155716113188911,0.9155716113188911,0.9187335017734202,0.9170256894523161,0.9155716113188911
uniform,2,3,0,0.9163692063788299,0.9145322805616313,0.9145322805616313,0.9184580702640557,0.9161172683108028,0.9145322805616313
uniform,2,3,1,0.9171643358328421,0.915225632188866,0.915225632188866,0.9191687802231655,0.9170985950864947,0.915225632188866
uniform,2,3,2,0.9173910685204589,0.9155001558147999,0.9155001558147999,0.9193238999083634,0.9173491498382134,0.9155001558147999
uniform,2,3,3,0.9173857736672394,0.9156038253623844,0.9156038253623844,0.9192546869569221,0.9172988086824118,0.9156038253623844
uniform,2,3,4,0.9172776829552306,0.915588558904537,0.915588558904537,0.919087865725263,0.9171566242358917,0.915588558904537
uniform,2,4,0,0.9163413128337767,0.9144566146653956,0.9144566146653956,0.9186421576362808,0.9159251661996537,0.9144566146653956
uniform,2,4,1,0.917053806116067,0.9150818276082502,0.9150818276082502,0.9192594248113316,0.9168201659286193,0.9150818276082502
uniform,2,4,2,0.9173497110371086,0.9153915943367743,0.9153915943367743,0.9194584676926661,0.9171990710818857,0.9153915943367743
uniform,2,4,3,0.9173953361538771,0.9155165884603995,0.9155165884603995,0.9194366650830008,0.9172327549182311,0.9155165884603995
uniform,2,4,4,0.917341786559735,0.9155539216137664,0.9155539216137664,0.9193171376016223,0.9171543004638162,0.9155539216137664
uniform,3,0,1,0.9159865894171936,0.9149861396313854,0.9149861396313854,0.9163027704767946,0.9166708581434009,0.9149861396313854
uniform,3,0,2,0.9165040236425565,0.9154023777871585,0.9154023777871585,0.9171245285357897,0.9169851646047208,0.9154023777871585
uniform,3,0,3,0.9165284829583874,0.9154672602330098,0.9154672602330098,0.9173110749286483,0.9168071137135041,0.9154672602330098
uniform,3,0,4,0.9163961686788862,0.9154015750864978,0.9154015750864978,0.9172769560173634,0.9165099749327973,0.9154015750864978
uniform,3,1,0,0.9155124360956375,0.914257060252105,0.914257060252105,0.9162595574288581,0.9160206906059495,0.914257060252105
uniform,3,1,1,0.9167215662270275,0.9152411258261457,0.9152411258261457,0.9177287692610212,0.9171948035939155,0.9152411258261457
uniform,3,1,2,0.9170567169317887,0.9155561479722024,0.9155561479722024,0.9181847480008374,0.9174292548223264,0.9155561479722024
uniform,3,1,3,0.9170619752346308,0.9156177741795248,0.9156177741795248,0.918248841525702,0.9173193099986656,0.9156177741795248
uniform,3,1,4,0.9169296801382956,0.9155845302559386,0.9155845302559386,0.918153639269983,0.917050870888965,0.9155845302559386
uniform,3,2,0,0.9160887001817987,0.9145081843965168,0.9145081843965168,0.9174472643946616,0.9163106517542177,0.9145081843965168
uniform,3,2,1,0.9169749541427334,0.9152593910524988,0.9152593910524988,0.918409674194181,0.9172557971815207,0.9152593910524988
uniform,3,2,2,0.9172722693047906,0.915570323968775,0.915570323968775,0.9187425535131647,0.917503930432432,0.915570323968775
uniform,3,2,3,0.9173002491131362,0.91564424815603,0.91564424815603,0.9187721253561234,0.9174843738272552,0.91564424815603
uniform,3,2,4,0.9172103054900281,0.9156391593367476,0.9156391593367476,0.9186863246146353,0.9173054325187013,0.9156391593367476
uniform,3,3,0,0.9162985846689645,0.9145737483806649,0.9145737483806649,0.9180402381417334,0.9162817674844954,0.9145737483806649
uniform,3,3,1,0.917026791433404,0.9151942511366242,0.9151942511366242,0.918762607250397,0.9171235159131911,0.9151942511366242
