candidate_weight,split,auc
0.0,2016_may_aug,0.9190761959764826
0.0,2016_sep_dec,0.9174717993970528
0.0,2017_jan_apr,0.9156176984530474
0.25,2016_may_aug,0.9199527626376066
0.25,2016_sep_dec,0.9185492912451736
0.25,2017_jan_apr,0.9160060238292445
0.5,2016_may_aug,0.9206438852254664
0.5,2016_sep_dec,0.9193680842805636
0.5,2017_jan_apr,0.9162799870792455
0.75,2016_may_aug,0.9211516093908472
0.75,2016_sep_dec,0.9199574428291261
0.75,2017_jan_apr,0.9164144773031391
1.0,2016_may_aug,0.9215063973117648
1.0,2016_sep_dec,0.9203384437207596
1.0,2017_jan_apr,0.9163786283887294
