variant,split,model,auc,n_train,n_valid,valid_rate,fit_seconds
uniform,2016_may_aug,lgbm,0.913545985763288,24024,14108,0.3860221151119932,7.527245124998444
uniform,2016_may_aug,xgb,0.9185441889823496,24024,14108,0.3860221151119932,2.097652708995156
uniform,2016_may_aug,cat,0.9141756646330002,24024,14108,0.3860221151119932,15.21504370799812
uniform,2016_may_aug,equal_rank_blend,0.9190761959764826,24024,14108,0.3860221151119932,24.83994154199172
uniform,2016_sep_dec,lgbm,0.9147584588778344,38132,13690,0.4343316289262235,8.070396582996182
uniform,2016_sep_dec,xgb,0.9140560933386707,38132,13690,0.4343316289262235,2.749543750003795
uniform,2016_sep_dec,cat,0.9118505513116674,38132,13690,0.4343316289262235,21.524352375003218
uniform,2016_sep_dec,equal_rank_blend,0.9174717993970528,38132,13690,0.4343316289262235,32.344292708003195
uniform,2017_jan_apr,lgbm,0.9134640677258843,51822,11642,0.4198591307335509,8.345737332994759
uniform,2017_jan_apr,xgb,0.9135356746829302,51822,11642,0.4198591307335509,3.6592581669974606
uniform,2017_jan_apr,cat,0.9130247632850899,51822,11642,0.4198591307335509,34.94866845799697
uniform,2017_jan_apr,equal_rank_blend,0.9156176984530474,51822,11642,0.4198591307335509,46.95366395798919
half_life_720d,2016_may_aug,lgbm,0.9133998436232467,24024,14108,0.3860221151119932,11.739562374998059
half_life_720d,2016_may_aug,xgb,0.9162833420939476,24024,14108,0.3860221151119932,3.7816824580004322
half_life_720d,2016_may_aug,cat,0.9192049977813699,24024,14108,0.3860221151119932,29.659989708998182
half_life_720d,2016_may_aug,equal_rank_blend,0.9197858884098132,24024,14108,0.3860221151119932,45.18123454199667
half_life_720d,2016_sep_dec,lgbm,0.9145452582192904,38132,13690,0.4343316289262235,10.507370667000941
half_life_720d,2016_sep_dec,xgb,0.9123140678294734,38132,13690,0.4343316289262235,3.789783540996723
half_life_720d,2016_sep_dec,cat,0.9149577494801702,38132,13690,0.4343316289262235,32.624110999997356
half_life_720d,2016_sep_dec,equal_rank_blend,0.9175555420617514,38132,13690,0.4343316289262235,46.92126520799502
half_life_720d,2017_jan_apr,lgbm,0.9128594978207737,51822,11642,0.4198591307335509,10.287204416999884
half_life_720d,2017_jan_apr,xgb,0.9136856585441033,51822,11642,0.4198591307335509,4.1469900420052
half_life_720d,2017_jan_apr,cat,0.9135476697569531,51822,11642,0.4198591307335509,39.331228791998
half_life_720d,2017_jan_apr,equal_rank_blend,0.9157540212576945,51822,11642,0.4198591307335509,53.765423251003085
half_life_365d,2016_may_aug,lgbm,0.9135730349902527,24024,14108,0.3860221151119932,10.08468775000074
half_life_365d,2016_may_aug,xgb,0.9184654897228625,24024,14108,0.3860221151119932,2.857998249994125
half_life_365d,2016_may_aug,cat,0.9190716913050642,24024,14108,0.3860221151119932,23.883590333003667
half_life_365d,2016_may_aug,equal_rank_blend,0.9207642500457675,24024,14108,0.3860221151119932,36.82627633299853
half_life_365d,2016_sep_dec,lgbm,0.9134742816199792,38132,13690,0.4343316289262235,9.514128749993688
half_life_365d,2016_sep_dec,xgb,0.913926537616093,38132,13690,0.4343316289262235,3.8925474579955335
half_life_365d,2016_sep_dec,cat,0.9172035231685723,38132,13690,0.4343316289262235,38.851991666000686
half_life_365d,2016_sep_dec,equal_rank_blend,0.9185755042628839,38132,13690,0.4343316289262235,52.25866787398991
half_life_365d,2017_jan_apr,lgbm,0.9125583487653797,51822,11642,0.4198591307335509,12.39633687499736
half_life_365d,2017_jan_apr,xgb,0.9133872659324874,51822,11642,0.4198591307335509,5.034199916000944
half_life_365d,2017_jan_apr,cat,0.912171128995753,51822,11642,0.4198591307335509,46.31712512500235
half_life_365d,2017_jan_apr,equal_rank_blend,0.9150054801737176,51822,11642,0.4198591307335509,63.74766191600065
half_life_180d,2016_may_aug,lgbm,0.9117825287940716,24024,14108,0.3860221151119932,11.169172624999192
half_life_180d,2016_may_aug,xgb,0.9189465568326729,24024,14108,0.3860221151119932,3.5251655829997617
half_life_180d,2016_may_aug,cat,0.9170979562740342,24024,14108,0.3860221151119932,21.666147124997224
half_life_180d,2016_may_aug,equal_rank_blend,0.9195261755538923,24024,14108,0.3860221151119932,36.36048533299618
half_life_180d,2016_sep_dec,lgbm,0.9131455656000422,38132,13690,0.4343316289262235,8.837915709002118
half_life_180d,2016_sep_dec,xgb,0.9144591483475244,38132,13690,0.4343316289262235,3.1789388329998474
half_life_180d,2016_sep_dec,cat,0.9120427185753046,38132,13690,0.4343316289262235,32.19360279200191
half_life_180d,2016_sep_dec,equal_rank_blend,0.9167948324694981,38132,13690,0.4343316289262235,44.21045733400388
half_life_180d,2017_jan_apr,lgbm,0.9114881518959244,51822,11642,0.4198591307335509,9.680402208003215
half_life_180d,2017_jan_apr,xgb,0.9134105593969413,51822,11642,0.4198591307335509,4.502013249999436
half_life_180d,2017_jan_apr,cat,0.9101178812870545,51822,11642,0.4198591307335509,34.79145183299988
half_life_180d,2017_jan_apr,equal_rank_blend,0.9144496175388823,51822,11642,0.4198591307335509,48.973867291002534
